p1,p2,g1_ratio,policy,avg_cost
0.1,0.9,0,random,110.83333333333333
0.1,0.9,0,coupcoll-nodupe,113.06666666666666
0.1,0.9,0,ratiocoll-nodupe,111.2
0.1,0.9,0,epsilon-exact-nodupe,111.4
0.1,0.9,1,random,109.1
0.1,0.9,1,coupcoll-nodupe,109.76666666666667
0.1,0.9,1,ratiocoll-nodupe,109.76666666666667
0.1,0.9,1,epsilon-exact-nodupe,110.76666666666667
0.1,0.9,2,random,108.2
0.1,0.9,2,coupcoll-nodupe,108.1
0.1,0.9,2,ratiocoll-nodupe,109.03333333333333
0.1,0.9,2,epsilon-exact-nodupe,108.73333333333333
0.1,0.9,3,random,107.36666666666666
0.1,0.9,3,coupcoll-nodupe,107.2
0.1,0.9,3,ratiocoll-nodupe,107.96666666666667
0.1,0.9,3,epsilon-exact-nodupe,107.76666666666667
0.1,0.9,4,random,107.43333333333334
0.1,0.9,4,coupcoll-nodupe,106.7
0.1,0.9,4,ratiocoll-nodupe,106.06666666666666
0.1,0.9,4,epsilon-exact-nodupe,107.2
0.1,0.9,5,random,106.36666666666666
0.1,0.9,5,coupcoll-nodupe,106.2
0.1,0.9,5,ratiocoll-nodupe,106.5
0.1,0.9,5,epsilon-exact-nodupe,106.46666666666667
0.1,0.9,6,random,106.36666666666666
0.1,0.9,6,coupcoll-nodupe,104.6
0.1,0.9,6,ratiocoll-nodupe,106.8
0.1,0.9,6,epsilon-exact-nodupe,105.7
0.1,0.9,7,random,104.36666666666666
0.1,0.9,7,coupcoll-nodupe,106.36666666666666
0.1,0.9,7,ratiocoll-nodupe,105.66666666666667
0.1,0.9,7,epsilon-exact-nodupe,104.13333333333334
0.1,0.9,8,random,109.33333333333333
0.1,0.9,8,coupcoll-nodupe,106.8
0.1,0.9,8,ratiocoll-nodupe,105.76666666666667
0.1,0.9,8,epsilon-exact-nodupe,105.8
0.1,0.9,9,random,106.03333333333333
0.1,0.9,9,coupcoll-nodupe,106.8
0.1,0.9,9,ratiocoll-nodupe,107.53333333333333
0.1,0.9,9,epsilon-exact-nodupe,106.46666666666667
0.1,0.9,10,random,115.6
0.1,0.9,10,coupcoll-nodupe,113.06666666666666
0.1,0.9,10,ratiocoll-nodupe,109.53333333333333
0.1,0.9,10,epsilon-exact-nodupe,118.63333333333334
0.1,0.9,11,random,122.93333333333334
0.1,0.9,11,coupcoll-nodupe,121.16666666666667
0.1,0.9,11,ratiocoll-nodupe,115.2
0.1,0.9,11,epsilon-exact-nodupe,116.36666666666666
0.1,0.9,12,random,118.93333333333334
0.1,0.9,12,coupcoll-nodupe,128.6
0.1,0.9,12,ratiocoll-nodupe,122.13333333333334
0.1,0.9,12,epsilon-exact-nodupe,128.33333333333334
0.1,0.9,13,random,146.93333333333334
0.1,0.9,13,coupcoll-nodupe,129.5
0.1,0.9,13,ratiocoll-nodupe,137.7
0.1,0.9,13,epsilon-exact-nodupe,139.83333333333334
0.1,0.9,14,random,138.4
0.1,0.9,14,coupcoll-nodupe,138.33333333333334
0.1,0.9,14,ratiocoll-nodupe,144.3
0.1,0.9,14,epsilon-exact-nodupe,139.03333333333333
0.1,0.9,15,random,160.93333333333334
0.1,0.9,15,coupcoll-nodupe,149.93333333333334
0.1,0.9,15,ratiocoll-nodupe,149.1
0.1,0.9,15,epsilon-exact-nodupe,141.4
0.1,0.9,16,random,178.53333333333333
0.1,0.9,16,coupcoll-nodupe,165.7
0.1,0.9,16,ratiocoll-nodupe,147.1
0.1,0.9,16,epsilon-exact-nodupe,157.63333333333333
0.1,0.9,17,random,159.53333333333333
0.1,0.9,17,coupcoll-nodupe,171.1
0.1,0.9,17,ratiocoll-nodupe,182.43333333333334
0.1,0.9,17,epsilon-exact-nodupe,169.4
0.1,0.9,18,random,182.3
0.1,0.9,18,coupcoll-nodupe,166.66666666666666
0.1,0.9,18,ratiocoll-nodupe,170.73333333333332
0.1,0.9,18,epsilon-exact-nodupe,189.16666666666666
0.1,0.9,19,random,214.43333333333334
0.1,0.9,19,coupcoll-nodupe,197.83333333333334
0.1,0.9,19,ratiocoll-nodupe,197.53333333333333
0.1,0.9,19,epsilon-exact-nodupe,194.4
0.1,0.9,20,random,205.73333333333332
0.1,0.9,20,coupcoll-nodupe,185.7
