p1,p2,total_query,policy,avg_cost
10,90,32,random,39.166666666666664
10,90,32,coupcoll,38.266666666666666
10,90,32,ratiocoll,36.9
10,90,32,union-bound,62.22222222222222
10,90,32,asymptotic,39.52252778063675
10,90,32,epsilon-exact,38.0
10,90,64,random,76.83333333333333
10,90,64,coupcoll,76.26666666666667
10,90,64,ratiocoll,72.43333333333334
10,90,64,union-bound,124.44444444444444
10,90,64,asymptotic,74.63846081070487
10,90,64,epsilon-exact,76.0
10,90,128,random,141.66666666666666
10,90,128,coupcoll,136.66666666666666
10,90,128,ratiocoll,147.06666666666666
10,90,128,union-bound,257.77777777777777
10,90,128,asymptotic,143.0450555612735
10,90,128,epsilon-exact,146.66666666666666
10,90,256,random,283.1666666666667
10,90,256,coupcoll,290.4
10,90,256,ratiocoll,271.2
10,90,256,union-bound,515.5555555555555
10,90,256,asymptotic,277.27692162140977
10,90,256,epsilon-exact,271.6
10,90,512,random,536.5666666666667
10,90,512,coupcoll,542.9333333333333
10,90,512,ratiocoll,541.4
10,90,512,union-bound,1022.2222222222223
10,90,512,asymptotic,542.090111122547
10,90,512,epsilon-exact,539.2333333333333
10,90,1024,random,1063.9333333333334
10,90,1024,coupcoll,1059.0333333333333
10,90,1024,ratiocoll,1045.8
10,90,1024,union-bound,2044.4444444444446
10,90,1024,asymptotic,1066.5538432428195
10,90,1024,epsilon-exact,1067.4
10,90,2048,random,2126.133333333333
10,90,2048,coupcoll,2107.6666666666665
10,90,2048,ratiocoll,2116.0666666666666
10,90,2048,union-bound,4097.777777777777
10,90,2048,asymptotic,2108.1802222450942
10,90,2048,epsilon-exact,2093.733333333333
10,90,5096,random,5145.966666666666
10,90,5096,coupcoll,5197.033333333334
10,90,5096,ratiocoll,5159.733333333334
10,90,5096,union-bound,10195.555555555555
10,90,5096,asymptotic,5190.930008719659
10,90,5096,epsilon-exact,5191.5
30,70,32,random,38.03333333333333
30,70,32,coupcoll,37.9
30,70,32,ratiocoll,38.86666666666667
30,70,32,union-bound,64.76190476190476
30,70,32,asymptotic,36.92465042459658
30,70,32,epsilon-exact,37.7
30,70,64,random,70.6
30,70,64,coupcoll,71.23333333333333
30,70,64,ratiocoll,71.1
30,70,64,union-bound,127.61904761904762
30,70,64,asymptotic,70.96450742041091
30,70,64,epsilon-exact,72.7
30,70,128,random,137.0
30,70,128,coupcoll,136.13333333333333
30,70,128,ratiocoll,135.7
30,70,128,union-bound,255.23809523809524
30,70,128,asymptotic,137.84930084919316
30,70,128,epsilon-exact,139.36666666666667
30,70,256,random,268.96666666666664
30,70,256,coupcoll,265.3666666666667
30,70,256,ratiocoll,267.3666666666667
30,70,256,union-bound,512.3809523809523
30,70,256,asymptotic,269.9290148408218
30,70,256,epsilon-exact,270.23333333333335
30,70,512,random,531.7
30,70,512,coupcoll,532.4333333333333
30,70,512,ratiocoll,528.1333333333333
30,70,512,union-bound,1024.7619047619046
30,70,512,asymptotic,531.6986016983864
30,70,512,epsilon-exact,534.4666666666667
30,70,1024,random,1062.2
30,70,1024,coupcoll,1051.7333333333333
30,70,1024,ratiocoll,1052.5
30,70,1024,union-bound,2047.6190476190475
30,70,1024,asymptotic,1051.8580296816435
30,70,1024,epsilon-exact,1051.5333333333333
30,70,2048,random,2076.6666666666665
30,70,2048,coupcoll,2097.3
30,70,2048,ratiocoll,2092.0333333333333
30,70,2048,union-bound,4095.238095238095
30,70,2048,asymptotic,2087.3972033967725
30,70,2048,epsilon-exact,2086.0
30,70,5096,random,5144.666666666667
30,70,5096,coupcoll,5151.3
30,70,5096,ratiocoll,5148.166666666667
30,70,5096,union-bound,10192.380952380952
30,70,5096,asymptotic,5158.146278668664
30,70,5096,epsilon-exact,5156.133333333333
30,90,32,random,43.43333333333333
30,90,32,coupcoll,33.96666666666667
30,90,32,ratiocoll,34.63333333333333
30,90,32,union-bound,53.333333333333336
30,90,32,asymptotic,37.21176012696448
30,90,32,epsilon-exact,36.8
30,90,64,random,86.13333333333334
30,90,64,coupcoll,67.43333333333334
30,90,64,ratiocoll,69.1
30,90,64,union-bound,106.66666666666667
30,90,64,asymptotic,71.3705418553885
30,90,64,epsilon-exact,72.66666666666667
30,90,128,random,158.4
30,90,128,coupcoll,131.4
30,90,128,ratiocoll,131.93333333333334
30,90,128,union-bound,213.33333333333334
30,90,128,asymptotic,138.42352025392896
30,90,128,epsilon-exact,139.03333333333333
30,90,256,random,325.56666666666666
30,90,256,coupcoll,260.6666666666667
30,90,256,ratiocoll,263.8666666666667
30,90,256,union-bound,426.6666666666667
30,90,256,asymptotic,270.741083710777
30,90,256,epsilon-exact,267.5
30,90,512,random,658.2
30,90,512,coupcoll,521.7
30,90,512,ratiocoll,519.5666666666667
30,90,512,union-bound,853.3333333333334
30,90,512,asymptotic,532.847040507858
30,90,512,epsilon-exact,522.9333333333333
30,90,1024,random,1297.1333333333334
30,90,1024,coupcoll,1043.3
30,90,1024,ratiocoll,1029.5333333333333
30,90,1024,union-bound,1706.6666666666667
30,90,1024,asymptotic,1053.4821674215539
30,90,1024,epsilon-exact,1033.9
30,90,2048,random,2553.8333333333335
30,90,2048,coupcoll,2086.366666666667
30,90,2048,ratiocoll,2054.9333333333334
30,90,2048,union-bound,3413.3333333333335
30,90,2048,asymptotic,2089.6940810157157
30,90,2048,epsilon-exact,2057.0333333333333
30,90,5096,random,6402.366666666667
30,90,5096,coupcoll,5189.533333333334
30,90,5096,ratiocoll,5099.6
30,90,5096,union-bound,8493.333333333334
30,90,5096,asymptotic,5161.769439306162
30,90,5096,epsilon-exact,5104.166666666667
50,50,32,random,36.36666666666667
50,50,32,coupcoll,36.4
50,50,32,ratiocoll,36.53333333333333
50,50,32,union-bound,64.0
50,50,32,asymptotic,36.51351666838205
50,50,32,epsilon-exact,36.56666666666667
50,50,64,random,69.16666666666667
50,50,64,coupcoll,69.3
50,50,64,ratiocoll,71.03333333333333
50,50,64,union-bound,128.0
50,50,64,asymptotic,70.38307648642292
50,50,64,epsilon-exact,69.8
50,50,128,random,135.5
50,50,128,coupcoll,137.4
50,50,128,ratiocoll,137.53333333333333
50,50,128,union-bound,256.0
50,50,128,asymptotic,137.0270333367641
50,50,128,epsilon-exact,137.2
50,50,256,random,268.2
50,50,256,coupcoll,268.6
50,50,256,ratiocoll,267.1
50,50,256,union-bound,512.0
50,50,256,asymptotic,268.7661529728459
50,50,256,epsilon-exact,266.46666666666664
50,50,512,random,527.8
50,50,512,coupcoll,535.2666666666667
50,50,512,ratiocoll,530.2333333333333
50,50,512,union-bound,1024.0
50,50,512,asymptotic,530.0540666735282
50,50,512,epsilon-exact,525.4333333333333
50,50,1024,random,1048.1333333333334
50,50,1024,coupcoll,1047.4333333333334
50,50,1024,ratiocoll,1051.8
50,50,1024,union-bound,2048.0
50,50,1024,asymptotic,1049.5323059456916
50,50,1024,epsilon-exact,1044.2666666666667
50,50,2048,random,2090.1
50,50,2048,coupcoll,2082.5
50,50,2048,ratiocoll,2083.266666666667
50,50,2048,union-bound,4096.0
50,50,2048,asymptotic,2084.1081333470565
50,50,2048,epsilon-exact,2096.3333333333335
50,50,5096,random,5147.633333333333
50,50,5096,coupcoll,5158.333333333333
50,50,5096,ratiocoll,5150.366666666667
50,50,5096,union-bound,10192.0
50,50,5096,asymptotic,5152.958005231795
50,50,5096,epsilon-exact,5140.066666666667
50,70,32,random,37.6
50,70,32,coupcoll,34.3
50,70,32,ratiocoll,35.0
50,70,32,union-bound,53.14285714285714
50,70,32,asymptotic,36.5775413792854
50,70,32,epsilon-exact,35.166666666666664
50,70,64,random,72.03333333333333
50,70,64,coupcoll,68.2
50,70,64,ratiocoll,67.6
50,70,64,union-bound,106.85714285714286
50,70,64,asymptotic,70.47362110090945
50,70,64,epsilon-exact,68.03333333333333
50,70,128,random,136.46666666666667
50,70,128,coupcoll,137.46666666666667
50,70,128,ratiocoll,129.63333333333333
50,70,128,union-bound,213.14285714285714
50,70,128,asymptotic,137.1550827585708
50,70,128,epsilon-exact,130.93333333333334
50,70,256,random,274.06666666666666
50,70,256,coupcoll,273.7
50,70,256,ratiocoll,257.5
50,70,256,union-bound,426.8571428571429
50,70,256,asymptotic,268.94724220181894
50,70,256,epsilon-exact,259.9
50,70,512,random,540.8
50,70,512,coupcoll,547.8
50,70,512,ratiocoll,514.2333333333333
50,70,512,union-bound,853.1428571428571
50,70,512,asymptotic,530.3101655171416
50,70,512,epsilon-exact,514.0666666666667
50,70,1024,random,1077.4333333333334
50,70,1024,coupcoll,1095.5
50,70,1024,ratiocoll,1026.7
50,70,1024,union-bound,1706.857142857143
50,70,1024,asymptotic,1049.8944844036378
50,70,1024,epsilon-exact,1026.8333333333333
50,70,2048,random,2131.766666666667
50,70,2048,coupcoll,2193.233333333333
50,70,2048,ratiocoll,2049.633333333333
50,70,2048,union-bound,3413.142857142857
50,70,2048,asymptotic,2084.620331034283
50,70,2048,epsilon-exact,2050.5666666666666
50,70,5096,random,5316.0
50,70,5096,coupcoll,5456.466666666666
50,70,5096,ratiocoll,5097.866666666667
50,70,5096,union-bound,8493.142857142857
50,70,5096,asymptotic,5153.765960555001
50,70,5096,epsilon-exact,5099.033333333334
50,90,32,random,40.166666666666664
50,90,32,coupcoll,33.03333333333333
50,90,32,ratiocoll,33.2
50,90,32,union-bound,45.333333333333336
50,90,32,asymptotic,36.70984737443763
50,90,32,epsilon-exact,35.7
50,90,64,random,76.23333333333333
50,90,64,coupcoll,65.9
50,90,64,ratiocoll,65.2
50,90,64,union-bound,91.55555555555556
