# Initial round: n is fixed at 10, and m is changed from 2 to 10
n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,2,True,uniform,random,11101.3,11101.3
10,2,True,uniform,coupcoll-nodupe,10387.69,10387.69
10,2,True,uniform,ratiocoll-nodupe,10000.31,10000.31
10,2,True,uniform,epsilon-exact-nodupe,10000.4,10000.4
10,2,True,uniform,ucb,11347.45,11347.45
10,2,True,random,random,11597.779703927237,11529.7
10,2,True,random,coupcoll-nodupe,2207.2427992868506,13783.53
10,2,True,random,ratiocoll-nodupe,2727.1007397607127,12261.78
10,2,True,random,epsilon-exact-nodupe,3509.3867884075707,12168.8
10,2,True,random,ucb,2510.644866065038,13030.87
10,2,True,skewed,random,10752.495698283534,11226.53
10,2,True,skewed,coupcoll-nodupe,701.3861249425526,14184.91
10,2,True,skewed,ratiocoll-nodupe,651.765228521568,13017.32
10,2,True,skewed,epsilon-exact-nodupe,2122.0138812898363,12303.49
10,2,True,skewed,ucb,985.0324098943389,13601.61
10,2,False,uniform,random,20403.66,20403.66
10,2,False,uniform,coupcoll-nodupe,11122.83,11122.83
10,2,False,uniform,ratiocoll-nodupe,11144.34,11144.34
10,2,False,uniform,epsilon-exact-nodupe,11983.57,11983.57
10,2,False,uniform,ucb,15772.27,15772.27
10,2,False,random,random,21303.71333133604,20511.67
10,2,False,random,coupcoll-nodupe,3100.3659812104806,17500.3
10,2,False,random,ratiocoll-nodupe,4057.344367490942,18383.43
10,2,False,random,epsilon-exact-nodupe,5196.254293268343,18087.35
10,2,False,random,ucb,4122.668972246508,26261.62
10,2,False,skewed,random,17986.4954344067,20275.37
10,2,False,skewed,coupcoll-nodupe,1176.000488514088,19399.04
10,2,False,skewed,ratiocoll-nodupe,1054.7328878160304,27945.38
10,2,False,skewed,epsilon-exact-nodupe,3284.6339107061167,17500.62
10,2,False,skewed,ucb,1288.5691804900714,27890.02
10,4,True,uniform,random,13030.81,13030.81
10,4,True,uniform,coupcoll-nodupe,12128.85,12128.85
10,4,True,uniform,ratiocoll-nodupe,10491.43,10491.43
10,4,True,uniform,epsilon-exact-nodupe,10543.7,10543.7
10,4,True,uniform,ucb,12519.75,12519.75
10,4,True,random,random,12505.954413309986,12803.76
10,4,True,random,coupcoll-nodupe,4418.209912992593,17035.66
10,4,True,random,ratiocoll-nodupe,3503.120019453694,18755.42
10,4,True,random,epsilon-exact-nodupe,4804.384702935654,14609.38
10,4,True,random,ucb,3370.396359149741,18518.8
10,4,True,skewed,random,12843.369690183406,12751.16
10,4,True,skewed,coupcoll-nodupe,1053.1893631984346,20170.16
10,4,True,skewed,ratiocoll-nodupe,1041.7365621624099,30043.79
10,4,True,skewed,epsilon-exact-nodupe,2715.9292275478497,15309.03
10,4,True,skewed,ucb,1390.2788008599978,18231.38
10,4,False,uniform,random,20757.96,20757.96
10,4,False,uniform,coupcoll-nodupe,13517.97,13517.97
10,4,False,uniform,ratiocoll-nodupe,12596.3,12596.3
10,4,False,uniform,epsilon-exact-nodupe,13036.5,13036.5
10,4,False,uniform,ucb,17177.72,17177.72
10,4,False,random,random,20579.11790569888,20130.23
10,4,False,random,coupcoll-nodupe,4811.632095980685,22210.15
10,4,False,random,ratiocoll-nodupe,4284.976553426188,23004.11
10,4,False,random,epsilon-exact-nodupe,6309.95058769585,21472.89
10,4,False,random,ucb,4503.178098467335,22839.0
10,4,False,skewed,random,19363.92613708093,21074.78
