# n fixed at 50, m changes from 50 to 150
# Only ran 1 random iteration due to runtime costs
n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
50,50,True,uniform,random,13705.0,13705.0
50,50,True,uniform,CoupColl,20703.0,20703.0
50,50,True,uniform,RatioColl,13175.0,13175.0
50,50,True,uniform,EpsilonGreedy,13594.0,13594.0
50,50,True,uniform,UCB,12693.0,12693.0
50,50,True,random,random,14353.51106206507,13028.0
50,50,True,random,CoupColl,3415.310798961663,19265.0
50,50,True,random,RatioColl,3228.1143584704714,18547.0
50,50,True,random,EpsilonGreedy,8793.243963293704,14580.0
50,50,True,random,UCB,7151.546942417349,16713.0
50,50,True,skewed,random,18958.522236402707,12980.0
50,50,True,skewed,CoupColl,754.7101737694784,112481.0
50,50,True,skewed,RatioColl,595.8014995142613,78948.0
50,50,True,skewed,EpsilonGreedy,7405.317947814487,17131.0
50,50,True,skewed,UCB,2924.616236142161,24514.0
50,50,False,uniform,random,16036.0,16036.0
50,50,False,uniform,CoupColl,20644.0,20644.0
50,50,False,uniform,RatioColl,16186.0,16186.0
50,50,False,uniform,EpsilonGreedy,16950.0,16950.0
50,50,False,uniform,UCB,21254.0,21254.0
50,50,False,random,random,21296.42788551397,23846.0
50,50,False,random,CoupColl,2513.847069338379,44091.0
50,50,False,random,RatioColl,1755.791539543542,36885.0
50,50,False,random,EpsilonGreedy,7936.89524998744,17578.0
50,50,False,random,UCB,6781.030514513179,21687.0
50,50,False,skewed,random,14133.069345333697,16912.0
50,50,False,skewed,CoupColl,749.5535168367543,31121.0
50,50,False,skewed,RatioColl,576.3290043652179,31462.0
50,50,False,skewed,EpsilonGreedy,4230.664987989957,15315.0
50,50,False,skewed,UCB,2999.8255913253693,26135.0
50,75,True,uniform,random,13405.0,13405.0
50,75,True,uniform,CoupColl,19893.0,19893.0
50,75,True,uniform,RatioColl,13819.0,13819.0
50,75,True,uniform,EpsilonGreedy,13495.0,13495.0
50,75,True,uniform,UCB,12704.0,12704.0
50,75,True,random,random,14889.348479419688,13038.0
50,75,True,random,CoupColl,9284.093299245607,33536.0
50,75,True,random,RatioColl,6399.1356976957095,22452.0
50,75,True,random,EpsilonGreedy,15638.017658889754,17162.0
50,75,True,random,UCB,11938.035301786254,17632.0
50,75,True,skewed,random,18307.591639622988,14132.0
50,75,True,skewed,CoupColl,584.2625315013064,30584.0
50,75,True,skewed,RatioColl,485.1438131513087,32586.0
50,75,True,skewed,EpsilonGreedy,7159.1596143615525,16205.0
50,75,True,skewed,UCB,2837.4078307512896,19570.0
50,75,False,uniform,random,19243.0,19243.0
50,75,False,uniform,CoupColl,20247.0,20247.0
50,75,False,uniform,RatioColl,16319.0,16319.0
50,75,False,uniform,EpsilonGreedy,18345.0,18345.0
50,75,False,uniform,UCB,20127.0,20127.0
50,75,False,random,random,17181.674172555086,20647.0
50,75,False,random,CoupColl,794.662482079025,23054.0
50,75,False,random,RatioColl,714.2838625998421,21965.0
50,75,False,random,EpsilonGreedy,9381.804346340148,20606.0
50,75,False,random,UCB,4371.056128673531,21586.0
50,75,False,skewed,random,14867.462488821659,19442.0
50,75,False,skewed,CoupColl,714.7549451511348,30186.0
50,75,False,skewed,RatioColl,584.0163383588325,27492.0
50,75,False,skewed,EpsilonGreedy,7766.539267211463,22186.0
50,75,False,skewed,UCB,3787.298321298832,25677.0
50,100,True,uniform,random,14845.0,14845.0
50,100,True,uniform,CoupColl,19420.0,19420.0
50,100,True,uniform,RatioColl,13893.0,13893.0
50,100,True,uniform,EpsilonGreedy,15424.0,15424.0
50,100,True,uniform,UCB,14896.0,14896.0
50,100,True,random,random,13935.405063506476,13369.0
50,100,True,random,CoupColl,3511.2546222822816,40321.0
50,100,True,random,RatioColl,2974.1398626284517,36227.0
50,100,True,random,EpsilonGreedy,17158.573406283114,19522.0
50,100,True,random,UCB,8413.16654582946,20091.0
50,100,True,skewed,random,9709.603338607785,13775.0
50,100,True,skewed,CoupColl,1061.1869300447206,38467.0
50,100,True,skewed,RatioColl,666.481922315807,23771.0
50,100,True,skewed,EpsilonGreedy,5284.8713550085,17248.0
50,100,True,skewed,UCB,2819.851498960238,18562.0
50,100,False,uniform,random,23499.0,23499.0
50,100,False,uniform,CoupColl,25347.0,25347.0
50,100,False,uniform,RatioColl,16719.0,16719.0
50,100,False,uniform,EpsilonGreedy,16191.0,16191.0
50,100,False,uniform,UCB,17541.0,17541.0
50,100,False,random,random,19786.290864921684,17947.0
50,100,False,random,CoupColl,967.8773140392642,59198.0
50,100,False,random,RatioColl,658.302929218521,40932.0
50,100,False,random,EpsilonGreedy,16220.732936229255,16472.0
50,100,False,random,UCB,5604.118099632361,24047.0
50,100,False,skewed,random,12400.637202426135,21278.0
50,100,False,skewed,CoupColl,398.7739597865147,126814.0
50,100,False,skewed,RatioColl,386.90790290336975,143381.0
50,100,False,skewed,EpsilonGreedy,4676.55801323379,17216.0
50,100,False,skewed,UCB,3077.0438835206437,55855.0
50,125,True,uniform,random,13994.0,13994.0
50,125,True,uniform,CoupColl,18323.0,18323.0
50,125,True,uniform,RatioColl,14370.0,14370.0
50,125,True,uniform,EpsilonGreedy,14593.0,14593.0
50,125,True,uniform,UCB,15850.0,15850.0
50,125,True,random,random,14485.298622154613,13582.0
50,125,True,random,CoupColl,896.4251402734794,81953.0
50,125,True,random,RatioColl,700.1794619083929,59391.0
50,125,True,random,EpsilonGreedy,16804.11611272073,17744.0
50,125,True,random,UCB,5898.817810090842,29090.0
50,125,True,skewed,random,12154.173035848715,15649.0
50,125,True,skewed,CoupColl,446.68492235507216,57514.0
50,125,True,skewed,RatioColl,262.4102315774974,39074.0
50,125,True,skewed,EpsilonGreedy,5272.0811245095265,16539.0
50,125,True,skewed,UCB,2261.9601457782665,21640.0
50,125,False,uniform,random,22398.0,22398.0
50,125,False,uniform,CoupColl,25040.0,25040.0
50,125,False,uniform,RatioColl,16358.0,16358.0
50,125,False,uniform,EpsilonGreedy,16733.0,16733.0
50,125,False,uniform,UCB,19222.0,19222.0
50,125,False,random,random,19316.810958479822,21217.0
50,125,False,random,CoupColl,512.6545300778897,38344.0
50,125,False,random,RatioColl,414.3827151730567,30603.0
50,125,False,random,EpsilonGreedy,10976.181703255685,18757.0
50,125,False,random,UCB,2925.2857562236773,23348.0
50,125,False,skewed,random,25602.084158511076,16075.0
50,125,False,skewed,CoupColl,720.7187278050815,59740.0
50,125,False,skewed,RatioColl,565.9078068742571,37005.0
50,125,False,skewed,EpsilonGreedy,10137.49279961563,28529.0
50,125,False,skewed,UCB,4880.122691725647,24949.0
50,150,True,uniform,random,14602.0,14602.0
50,150,True,uniform,CoupColl,16957.0,16957.0
50,150,True,uniform,RatioColl,14164.0,14164.0
50,150,True,uniform,EpsilonGreedy,17071.0,17071.0
50,150,True,uniform,UCB,14626.0,14626.0
50,150,True,random,random,15646.695885734704,14652.0
50,150,True,random,CoupColl,5875.446098417135,31747.0
50,150,True,random,RatioColl,4044.915886704078,22165.0
50,150,True,random,EpsilonGreedy,17117.82987314302,18855.0
50,150,True,random,UCB,8902.011874296226,16505.0
50,150,True,skewed,random,11041.333049415414,15934.0
50,150,True,skewed,CoupColl,683.0510439553184,436027.0
50,150,True,skewed,RatioColl,604.2721452458925,374437.0
50,150,True,skewed,EpsilonGreedy,13935.97537384052,17730.0
50,150,True,skewed,UCB,3214.4262268575744,115627.0
50,150,False,uniform,random,15680.0,15680.0
50,150,False,uniform,CoupColl,20650.0,20650.0
50,150,False,uniform,RatioColl,16029.0,16029.0
50,150,False,uniform,EpsilonGreedy,16026.0,16026.0
50,150,False,uniform,UCB,15517.0,15517.0
50,150,False,random,random,18347.382409980546,19072.0
50,150,False,random,CoupColl,1090.764807076102,34234.0
50,150,False,random,RatioColl,852.4056817072731,26388.0
50,150,False,random,EpsilonGreedy,15739.905086985937,21911.0
50,150,False,random,UCB,5052.163679980761,19913.0
50,150,False,skewed,random,13320.284518593522,21511.0
50,150,False,skewed,CoupColl,1272.6718102605969,30997.0
50,150,False,skewed,RatioColl,1166.071099900934,27784.0
50,150,False,skewed,EpsilonGreedy,4929.726052314047,18429.0
50,150,False,skewed,UCB,4664.316094700512,27184.0
