# n fixed at 10, m changing from 10 to 50
n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,10,True,uniform,random,13725.85,13725.85
10,10,True,uniform,CoupColl,14811.26,14811.26
10,10,True,uniform,RatioColl,11909.98,11909.98
10,10,True,uniform,EpsilonGreedy,12024.24,12024.24
10,10,True,uniform,UCB,13815.74,13815.74
10,10,True,random,random,13370.890674557977,13878.71
10,10,True,random,CoupColl,6005.301319114855,25448.84
10,10,True,random,RatioColl,5063.295980238384,28725.15
10,10,True,random,EpsilonGreedy,6432.499053543667,16630.64
10,10,True,random,UCB,5592.019430493798,25624.42
10,10,True,skewed,random,13363.688804029955,13824.89
10,10,True,skewed,CoupColl,1580.1248615820646,22837.66
10,10,True,skewed,RatioColl,1406.0742193178733,29374.57
10,10,True,skewed,EpsilonGreedy,3445.3972547084763,16731.36
10,10,True,skewed,UCB,1590.6151991788693,33302.99
10,10,False,uniform,random,21374.01,21374.01
10,10,False,uniform,CoupColl,16710.44,16710.44
10,10,False,uniform,RatioColl,14384.68,14384.68
10,10,False,uniform,EpsilonGreedy,14651.42,14651.42
10,10,False,uniform,UCB,17519.61,17519.61
10,10,False,random,random,21171.27908259948,20742.68
10,10,False,random,CoupColl,5443.040559945876,31952.13
10,10,False,random,RatioColl,4879.049355233301,37480.0
10,10,False,random,EpsilonGreedy,7453.56467684732,19991.09
10,10,False,random,UCB,6395.205430676415,34718.72
10,10,False,skewed,random,19286.622184999855,21378.03
10,10,False,skewed,CoupColl,1706.2055427509538,35502.01
10,10,False,skewed,RatioColl,1566.588315922958,27996.46
10,10,False,skewed,EpsilonGreedy,3780.049656793858,20726.44
10,10,False,skewed,UCB,2404.401868538411,27088.79
10,20,True,uniform,random,14468.366666666667,14468.366666666667
10,20,True,uniform,CoupColl,16730.9,16730.9
10,20,True,uniform,RatioColl,12975.833333333334,12975.833333333334
10,20,True,uniform,EpsilonGreedy,13302.066666666668,13302.066666666668
