n,m,majority_distribution,cost_model,policy,avg_cost,avg_iters
10,10,True,uniform,Random,13605.333333333334,13605.333333333334
10,10,True,uniform,CoupColl,14765.133333333333,14765.133333333333
10,10,True,uniform,RatioColl,11080.466666666667,11080.466666666667
10,10,True,uniform,EpsilonGreedy,11747.333333333334,11747.333333333334
10,10,True,uniform,UCB,13403.933333333332,13403.933333333332
10,10,True,random,Random,13992.50998881611,14842.133333333333
10,10,True,random,CoupColl,6018.251120087376,17289.466666666667
10,10,True,random,RatioColl,5905.110941983537,16946.5
10,10,True,random,EpsilonGreedy,6258.17966943377,13314.2
10,10,True,random,UCB,5956.846076764432,14445.033333333333
10,10,True,skewed,Random,3889.2452369622256,12001.733333333334
10,10,True,skewed,CoupColl,924.9602986084875,20053.833333333332
10,10,True,skewed,RatioColl,825.151023069757,18149.833333333332
10,10,True,skewed,EpsilonGreedy,1352.173032457483,16219.8
10,10,True,skewed,UCB,913.0609612593289,17270.933333333334
10,10,False,uniform,Random,22736.466666666667,22736.466666666667
10,10,False,uniform,CoupColl,16946.333333333332,16946.333333333332
10,10,False,uniform,RatioColl,14064.2,14064.2
10,10,False,uniform,EpsilonGreedy,15214.6,15214.6
10,10,False,uniform,UCB,19063.233333333334,19063.233333333334
10,10,False,random,Random,21139.78078391586,18807.3
10,10,False,random,CoupColl,9954.861662431498,21446.3
10,10,False,random,RatioColl,8847.98077638883,20370.9
10,10,False,random,EpsilonGreedy,11050.101867162886,19599.033333333333
10,10,False,random,UCB,10549.233079193831,22543.766666666666
10,10,False,skewed,Random,25882.858997580726,15728.8
10,10,False,skewed,CoupColl,466.1971160111323,19535.733333333334
10,10,False,skewed,RatioColl,427.8531021235997,18721.133333333335
10,10,False,skewed,EpsilonGreedy,3784.7575179671157,16528.433333333334
10,10,False,skewed,UCB,806.2056611537243,21386.033333333333
10,20,True,uniform,Random,14320.533333333333,14320.533333333333
10,20,True,uniform,CoupColl,17215.866666666665,17215.866666666665
10,20,True,uniform,RatioColl,13374.666666666666,13374.666666666666
10,20,True,uniform,EpsilonGreedy,13194.466666666667,13194.466666666667
10,20,True,uniform,UCB,13322.566666666668,13322.566666666668
10,20,True,random,Random,17439.92130056504,14027.966666666667
10,20,True,random,CoupColl,8617.185578308685,34361.36666666667
10,20,True,random,RatioColl,7018.778514443246,24229.233333333334
10,20,True,random,EpsilonGreedy,10214.768344635107,17663.0
10,20,True,random,UCB,8666.067703991877,23571.666666666668
10,20,True,skewed,Random,8561.283343273764,14225.7
10,20,True,skewed,CoupColl,420.9954592430841,25253.4
10,20,True,skewed,RatioColl,420.56424011170293,25227.533333333333
10,20,True,skewed,EpsilonGreedy,2321.0578510250557,18040.966666666667
10,20,True,skewed,UCB,634.9093095547286,22852.133333333335
10,20,False,uniform,Random,20187.166666666668,20187.166666666668
10,20,False,uniform,CoupColl,19872.766666666666,19872.766666666666
10,20,False,uniform,RatioColl,15448.933333333332,15448.933333333332
10,20,False,uniform,EpsilonGreedy,15845.333333333334,15845.333333333334
10,20,False,uniform,UCB,16517.766666666666,16517.766666666666
10,20,False,random,Random,21994.290171539127,19310.466666666667
10,20,False,random,CoupColl,12517.272021343375,22007.4
10,20,False,random,RatioColl,9456.583626312506,18716.166666666668
10,20,False,random,EpsilonGreedy,12101.233808467216,18394.933333333334
10,20,False,random,UCB,11482.87616010275,24247.8
10,20,False,skewed,Random,7383.989256472074,18992.6
10,20,False,skewed,CoupColl,370.35488859862903,23921.366666666665
10,20,False,skewed,RatioColl,351.0989104475229,22932.433333333334
10,20,False,skewed,EpsilonGreedy,1467.32725244781,19531.166666666668
10,20,False,skewed,UCB,572.9861963366669,30934.3
10,30,True,uniform,Random,14905.7,14905.7
10,30,True,uniform,CoupColl,20593.166666666668,20593.166666666668
10,30,True,uniform,RatioColl,13698.3,13698.3
10,30,True,uniform,EpsilonGreedy,14526.633333333333,14526.633333333333
10,30,True,uniform,UCB,13799.666666666666,13799.666666666666
10,30,True,random,Random,16282.066958698702,14099.4
10,30,True,random,CoupColl,4590.629472521455,76969.33333333333
10,30,True,random,RatioColl,4608.082802912454,77261.96666666666
10,30,True,random,EpsilonGreedy,11159.672174369192,21042.533333333333
10,30,True,random,UCB,7344.617541473549,39302.86666666667
10,30,True,skewed,Random,8163.177335998039,17164.3
10,30,True,skewed,CoupColl,941.3443673683764,27105.633333333335
10,30,True,skewed,RatioColl,770.3279390408999,26238.833333333332
10,30,True,skewed,EpsilonGreedy,2460.55896992599,19515.033333333333
10,30,True,skewed,UCB,1455.6924703702282,33711.76666666667
10,30,False,uniform,Random,28079.166666666668,28079.166666666668
10,30,False,uniform,CoupColl,22491.3,22491.3
10,30,False,uniform,RatioColl,15437.066666666668,15437.066666666668
10,30,False,uniform,EpsilonGreedy,17912.366666666665,17912.366666666665
10,30,False,uniform,UCB,24143.166666666668,24143.166666666668
10,30,False,random,Random,16464.811377350885,17190.666666666668
10,30,False,random,CoupColl,5347.1732749506,36482.166666666664
